Data,Time,Date
"AA 55 C0 80 00 05 01 01 78 C0 80 00 05 01 00 79 C0 80 00 0B 10 11 25 10 25 00 00 00 00 10 25 11 25 00 00 00 00 8D C0 80 00 0B 04 5E 4B 5E 20 48 C0 ",13:27:19,7/18/2019
No bytes available,13:27:19,7/18/2019
"AA 55 C0 ",13:28:22,7/18/2019
No bytes available,13:28:22,7/18/2019
"AA 55 C0 80 00 0B 10 11 25 10 25 00 00 00 00 10 25 11 25 00 00 00 00 8D C0 80 00 0B 04 5E 4B 5E 20 48 C0 ",13:28:45,7/18/2019
No bytes available,13:28:45,7/18/2019
"AA 55 C0 80 00 0B 10 11 25 10 25 00 00 00 00 10 25 11 25 00 00 00 00 8D C0 80 00 0B 04 5E 4B 5E 20 48 C0 ",13:29:53,7/18/2019
No bytes available,13:29:53,7/18/2019
"AA 55 C0 80 00 0B 10 11 25 10 25 00 00 00 00 10 25 11 25 00 00 00 00 8D C0 80 00 0B 04 DE 4B DE 20 47 C0 ",13:31:26,7/18/2019
No bytes available,13:31:26,7/18/2019
"AA 55 C0 80 00 0B 10 11 25 10 25 00 00 00 00 10 25 11 25 00 00 00 00 8D C0 80 00 0B 04 C6 4B C6 20 77 C0 ",13:33:45,7/18/2019
No bytes available,13:33:45,7/18/2019
